tema,regione,provincia,scuola,codice_meccanografico,ordine_grado,tipo_scuola,categoria,titolo,ambiti_attivita
Cittadinanza e Legalità,Lazio,Roma,Ic Via P. Stabilini,RMIC8GA002,"I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Progetti e Attività Esemplari,Curricolo di Cittadinanza e Costituzione,Cittadinanza e Legalità
Sostenibilità e Ambiente; Cittadinanza e Legalità,Lazio,Roma,Ic Via P. Stabilini,RMIC8GA002,"I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Progetti e Attività Esemplari,Attività di Riciclaggio Carta con Studenti,Sostenibilità e Ambiente | Cittadinanza e Legalità
Lingue Straniere; Orientamento,Lazio,Roma,Cervi F.Lli,RMMM856011,I Grado,I Grado,Progetti e Attività Esemplari,Progetto Ready for Europe con certificazioni Trinity e Cambridge,Lingue Straniere | Orientamento
Cittadinanza e Legalità; Sostenibilità e Ambiente,Lazio,Roma,Cervi F.Lli,RMMM856011,I Grado,I Grado,Azioni di Sistema e Governance,Certificazione competenze europee,Cittadinanza e Legalità | Sostenibilità e Ambiente
Orientamento; Inclusione e BES; Cittadinanza e Legalità; Valutazione e Autovalutazione; Formazione Docenti,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Azioni di Sistema e Governance,Curricolo verticale per competenze basato sul quadro europeo,Orientamento | Inclusione e BES | Cittadinanza e Legalità | Valutazione e Autovalutazione | Formazione Docenti
Cittadinanza e Legalità; Orientamento,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Sviluppo Cittadinanza Responsabile e Partecipazione Comunitaria,Cittadinanza e Legalità | Orientamento
Sostenibilità e Ambiente; STEM e Ricerca; Orientamento,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Analisi e Comprensione delle Relazioni Territoriali e dello Sviluppo Globale,Sostenibilità e Ambiente | STEM e Ricerca | Orientamento
Altro; Lettura e Scrittura; Orientamento,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Analisi Critica delle Fonti Storiche e Geografiche,Altro | Lettura e Scrittura | Orientamento
Altro; Lettura e Scrittura; Orientamento,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Sviluppo del Giudizio Critico e Argomentativo in Filosofia,Altro | Lettura e Scrittura | Orientamento
Sport e Benessere; Cittadinanza e Legalità,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Sviluppo della consapevolezza corporea e stili di vita sani,Sport e Benessere | Cittadinanza e Legalità
Orientamento; Valutazione e Autovalutazione; Continuità e Accoglienza,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Azioni di Sistema e Governance,Didattica che favorisce il successo scolastico,Orientamento | Valutazione e Autovalutazione | Continuità e Accoglienza
Orientamento; Inclusione e BES; Continuità e Accoglienza; Valutazione e Autovalutazione; Rapporti con Famiglie,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Riorientamento per prevenire insuccesso formativo,Orientamento | Inclusione e BES | Continuità e Accoglienza | Valutazione e Autovalutazione | Rapporti con Famiglie
Inclusione e BES; Orientamento,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Buone Pratiche per l'Inclusione,Sportelli Didattici di Sostegno-Potenziamento,Inclusione e BES | Orientamento
Inclusione e BES; Orientamento; Valutazione e Autovalutazione,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Buone Pratiche per l'Inclusione,Corsi di Recupero Globali,Inclusione e BES | Orientamento | Valutazione e Autovalutazione
Orientamento; PCTO/Alternanza; Cittadinanza e Legalità; Imprenditorialità,Lazio,Frosinone,S.Bernardo,FRPC02500X,II Grado,"I Grado, Liceo, Primaria",Partnership e Collaborazioni Strategiche,Convenzioni con Enti Pubblici e Professionisti,Orientamento | PCTO/Alternanza | Cittadinanza e Legalità | Imprenditorialità
PCTO/Alternanza; Imprenditorialità; Orientamento,Lazio,Latina,I.C.Giulio Cesare,LTIC809007,II Grado,Liceo,Partnership e Collaborazioni Strategiche,PCTO Start up your life con Unicredit,PCTO/Alternanza | Imprenditorialità | Orientamento
Sostenibilità e Ambiente; Cittadinanza e Legalità; Rapporti con Famiglie; Formazione Docenti,Lazio,Latina,I.C.Giulio Cesare,LTIC809007,II Grado,Liceo,Azioni di Sistema e Governance,Protocollo di azioni per la transizione ecologica,Sostenibilità e Ambiente | Cittadinanza e Legalità | Rapporti con Famiglie | Formazione Docenti
Orientamento; PCTO/Alternanza; Valutazione e Autovalutazione,Lazio,Latina,I.C.Giulio Cesare,LTIC809007,II Grado,Liceo,Azioni di Sistema e Governance,Funzioni Strumentali per orientamento e PTOF,Orientamento | PCTO/Alternanza | Valutazione e Autovalutazione
Orientamento; PCTO/Alternanza; Cittadinanza e Legalità,Lazio,Latina,I.C Natale Prampolini,LTIC81500E,"Comprensivo, I Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria",Progetti e Attività Esemplari,Modulo di Orientamento Formativo - Classe II Secondaria I Grado,Orientamento | PCTO/Alternanza | Cittadinanza e Legalità
Arte e Creatività; Sport e Benessere; Cittadinanza e Legalità,Lazio,Latina,I.C Natale Prampolini,LTIC81500E,"Comprensivo, I Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria",Progetti e Attività Esemplari,Progetto 'Il seme che ho dentro',Arte e Creatività | Sport e Benessere | Cittadinanza e Legalità
Sostenibilità e Ambiente; Cittadinanza e Legalità; Rapporti con Famiglie,Lazio,Latina,I.C Natale Prampolini,LTIC81500E,"Comprensivo, I Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria",Progetti e Attività Esemplari,"Progetto 'La Terra ""si-cura"": la raccolta differenziata'",Sostenibilità e Ambiente | Cittadinanza e Legalità | Rapporti con Famiglie
Sostenibilità e Ambiente; Sport e Benessere; Cittadinanza e Legalità; STEM e Ricerca,Lazio,Latina,I.C Natale Prampolini,LTIC81500E,"Comprensivo, I Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria",Progetti e Attività Esemplari,Attività per la Transizione ecologica e culturale (Salute e benessere),Sostenibilità e Ambiente | Sport e Benessere | Cittadinanza e Legalità | STEM e Ricerca
PCTO/Alternanza; Orientamento,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Percorsi per le Competenze Trasversali e per l'Orientamento (PCTO),PCTO/Alternanza | Orientamento
Sostenibilità e Ambiente; Cittadinanza e Legalità,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Attività per la Transizione Ecologica e Culturale,Sostenibilità e Ambiente | Cittadinanza e Legalità
Orientamento; PCTO/Alternanza,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Metodologie Didattiche Innovative,Utilizzo strumenti comunicazione e team working,Orientamento | PCTO/Alternanza
Orientamento; Imprenditorialità,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Gestione e commercializzazione prodotti ottici,Orientamento | Imprenditorialità
Orientamento; Cittadinanza e Legalità; Sostenibilità e Ambiente; Arte e Creatività; PCTO/Alternanza,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Valorizzazione delle Risorse Enogastronomiche e Culturali del Territorio,Orientamento | Cittadinanza e Legalità | Sostenibilità e Ambiente | Arte e Creatività | PCTO/Alternanza
Sostenibilità e Ambiente; STEM e Ricerca; Prevenzione Disagio,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,"Formazione su Sostenibilità, Contrasto allo Spreco e Sicurezza Alimentare",Sostenibilità e Ambiente | STEM e Ricerca | Prevenzione Disagio
Orientamento; Formazione Docenti; Digitalizzazione,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Azioni di Sistema e Governance,Formazione Docenti su Orientamento e Piattaforma UNICA,Orientamento | Formazione Docenti | Digitalizzazione
Orientamento; PCTO/Alternanza; Continuità e Accoglienza,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Progetti e Attività Esemplari,Modulo di Orientamento Formativo per la Classe V: La Scelta,Orientamento | PCTO/Alternanza | Continuità e Accoglienza
Inclusione e BES,Lazio,Latina,Ipa San Benedetto Serale,LTRA01650V,II Grado,"Professionale, Tecnico",Buone Pratiche per l'Inclusione,Progetti didattico-educativi a tematica inclusiva,Inclusione e BES
Sostenibilità e Ambiente; Cittadinanza e Legalità; Rapporti con Famiglie; Altro,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Percorsi didattici laboratoriali per l'identità e tematiche socio-ambientali,Sostenibilità e Ambiente | Cittadinanza e Legalità | Rapporti con Famiglie | Altro
Sostenibilità e Ambiente; Digitalizzazione; STEM e Ricerca,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Azioni di Sistema e Governance,Competenze Tecnologiche per la Sostenibilità e la Comunicazione,Sostenibilità e Ambiente | Digitalizzazione | STEM e Ricerca
Cittadinanza e Legalità; Digitalizzazione; Sostenibilità e Ambiente,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Educazione alla Cittadinanza Digitale e Responsabile,Cittadinanza e Legalità | Digitalizzazione | Sostenibilità e Ambiente
Sport e Benessere; Sostenibilità e Ambiente,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Sviluppo consapevolezza corporea e stile di vita sano,Sport e Benessere | Sostenibilità e Ambiente
Cittadinanza e Legalità; Imprenditorialità; Intercultura e Lingue; Orientamento,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,"Progetto Interact ""San Bernardo""",Cittadinanza e Legalità | Imprenditorialità | Intercultura | Orientamento
Digitalizzazione; Orientamento,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,E.C.D.L. Progetto informatica,Digitalizzazione | Orientamento
Lingue Straniere; Orientamento,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Progetti e Attività Esemplari,Corsi di lingua inglese per certificazioni,Lingue Straniere | Orientamento
Valutazione e Autovalutazione; Orientamento; Inclusione e BES,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Azioni di Sistema e Governance,Didattica che favorisce il successo scolastico,Valutazione e Autovalutazione | Orientamento | Inclusione e BES
Orientamento; Inclusione e BES; Continuità e Accoglienza; Rapporti con Famiglie,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Azioni di Sistema e Governance,Riorientamento per prevenire insuccesso formativo,Orientamento | Inclusione e BES | Continuità e Accoglienza | Rapporti con Famiglie
Valutazione e Autovalutazione,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Azioni di Sistema e Governance,Valutazione trasparente con esplicitazione del voto,Valutazione e Autovalutazione
Inclusione e BES; Orientamento; Valutazione e Autovalutazione,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Buone Pratiche per l'Inclusione,Corsi di Recupero Globali,Inclusione e BES | Orientamento | Valutazione e Autovalutazione
Orientamento; PCTO/Alternanza; Cittadinanza e Legalità; Rapporti con Famiglie,Lazio,Frosinone,San Bernardo,FRPSII500H,II Grado,"I Grado, Liceo, Primaria",Partnership e Collaborazioni Strategiche,Convenzioni con Enti Pubblici e Professionisti,Orientamento | PCTO/Alternanza | Cittadinanza e Legalità | Rapporti con Famiglie
Orientamento; Cittadinanza e Legalità; STEM e Ricerca,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Liceo delle Scienze Umane: Studio delle Relazioni Umane e Identità,Orientamento | Cittadinanza e Legalità | STEM e Ricerca
Orientamento; Cittadinanza e Legalità; Lingue Straniere; STEM e Ricerca; Imprenditorialità,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Liceo Scienze Umane opzione Economico-Sociale: Approfondimento Metodologia Ricerca,Orientamento | Cittadinanza e Legalità | Lingue Straniere | STEM e Ricerca | Imprenditorialità
Orientamento; PCTO/Alternanza; Imprenditorialità; STEM e Ricerca,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Indirizzi Tecnici: Preparazione al Mondo del Lavoro e agli Albi Professionali,Orientamento | PCTO/Alternanza | Imprenditorialità | STEM e Ricerca
Orientamento; Sostenibilità e Ambiente; Arte e Creatività; Cittadinanza e Legalità,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Ambasciatori digitali dell'arte - Gallerie degli Uffizi,Orientamento | Sostenibilità e Ambiente | Arte e Creatività | Cittadinanza e Legalità
Orientamento; Sostenibilità e Ambiente; Digitalizzazione; Cittadinanza e Legalità; Imprenditorialità,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Futurità - WeSchool,Orientamento | Sostenibilità e Ambiente | Digitalizzazione | Cittadinanza e Legalità | Imprenditorialità
Inclusione e BES; Prevenzione Disagio; Sport e Benessere; Cittadinanza e Legalità,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Prevenzione e contrasto body shaming - Sapienza,Inclusione e BES | Prevenzione Disagio | Sport e Benessere | Cittadinanza e Legalità
Orientamento; Imprenditorialità; Cittadinanza e Legalità; Sostenibilità e Ambiente; Digitalizzazione,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Startup Your Life - Unicredit,Orientamento | Imprenditorialità | Cittadinanza e Legalità | Sostenibilità e Ambiente | Digitalizzazione
Orientamento; Imprenditorialità; Lingue Straniere; PCTO/Alternanza,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,School of Enterprise - Multikulturalità (Malta),Orientamento | Imprenditorialità | Lingue Straniere | PCTO/Alternanza
Prevenzione Disagio; Cittadinanza e Legalità; Inclusione e BES,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Educare Alla Salute: Prevenzione IST,Prevenzione Disagio | Cittadinanza e Legalità | Inclusione e BES
Lingue Straniere; Orientamento; Valutazione e Autovalutazione,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,"Certificazioni Linguistiche (Inglese, Francese, Spagnolo)",Lingue Straniere | Orientamento | Valutazione e Autovalutazione
Lingue Straniere; Orientamento; Valutazione e Autovalutazione,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Progetti e Attività Esemplari,Certificazione Di Lingua Tedesca (Goethe-Institut),Lingue Straniere | Orientamento | Valutazione e Autovalutazione
Intercultura e Lingue; Lingue Straniere; Cittadinanza e Legalità; Orientamento,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Partnership e Collaborazioni Strategiche,Progetto Pluriennale Di Partenariato Con Europaschule Köln,Intercultura | Lingue Straniere | Cittadinanza e Legalità | Orientamento
Orientamento; Inclusione e BES; PCTO/Alternanza; Lingue Straniere; Sport e Benessere,Lazio,Rieti,Liceo Scientifico,RIPS00801E,II Grado,Liceo,Buone Pratiche per l'Inclusione,Certificazione Crediti Formativi Esterni,Orientamento | Inclusione e BES | PCTO/Alternanza | Lingue Straniere | Sport e Benessere
Valutazione e Autovalutazione; Orientamento,Lazio,Rieti,Ites Corso Serale,RITD09050G,II Grado,Tecnico,Azioni di Sistema e Governance,Criteri chiari per l'ammissione alla classe successiva,Valutazione e Autovalutazione | Orientamento
Valutazione e Autovalutazione; Inclusione e BES; Orientamento,Lazio,Roma,Scuola Media Nostra Signora Ss.Sacramento,RM1M01100X,I Grado,I Grado,Azioni di Sistema e Governance,Criteri di Valutazione Formativa e Orientativa,Valutazione e Autovalutazione | Inclusione e BES | Orientamento
Orientamento; Inclusione e BES; Sport e Benessere; Rapporti con Famiglie; Prevenzione Disagio,Lazio,Roma,Scuola Media Nostra Signora Ss.Sacramento,RM1M01100X,I Grado,I Grado,Partnership e Collaborazioni Strategiche,Centro di Promozione Sociale e Culturale 'Beato Pier Vigne',Orientamento | Inclusione e BES | Sport e Benessere | Rapporti con Famiglie | Prevenzione Disagio
Valutazione e Autovalutazione; STEM e Ricerca; Arte e Creatività,Lazio,Roma,Scuola Media Nostra Signora Ss.Sacramento,RM1M01100X,I Grado,I Grado,Azioni di Sistema e Governance,Coinvolgimento degli studenti nella gestione delle attività,Valutazione e Autovalutazione | STEM e Ricerca | Arte e Creatività
Orientamento; Valutazione e Autovalutazione; Formazione Docenti,Lazio,Roma,Scuola Media Nostra Signora Ss.Sacramento,RM1M01100X,I Grado,I Grado,Azioni di Sistema e Governance,Percorsi di eccellenza per soddisfare scelte opzionali,Orientamento | Valutazione e Autovalutazione | Formazione Docenti
Sostenibilità e Ambiente; Sport e Benessere; Cittadinanza e Legalità; Rapporti con Famiglie,Lazio,Roma,Scuola Media Cabrini,RM1M08300T,I Grado,I Grado,Progetti e Attività Esemplari,Programma 'Frutta e Verdura Nelle Scuole',Sostenibilità e Ambiente | Sport e Benessere | Cittadinanza e Legalità | Rapporti con Famiglie
Orientamento; Cittadinanza e Legalità; Sostenibilità e Ambiente; Intercultura e Lingue,Lazio,Roma,D. Cambellotti - Sede Centrale,RMIC8AP00T,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Partnership e Collaborazioni Strategiche,Collaborazione con il Territorio,Orientamento | Cittadinanza e Legalità | Sostenibilità e Ambiente | Intercultura
Valutazione e Autovalutazione; Orientamento; Inclusione e BES,Lazio,Roma,D. Cambellotti - Sede Centrale,RMIC8AP00T,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Azioni di Sistema e Governance,Organico dell'Autonomia per Obiettivi di Miglioramento,Valutazione e Autovalutazione | Orientamento | Inclusione e BES
Orientamento; Valutazione e Autovalutazione; Formazione Docenti; Lettura e Scrittura; Matematica e Logica,Lazio,Roma,Ic Anzio V,RMIC8C600P,"Comprensivo, I Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria",Metodologie Didattiche Innovative,Didattica orientante e per competenze come pratica condivisa,Orientamento | Valutazione e Autovalutazione | Formazione Docenti | Lettura e Scrittura | Matematica e Logica
Continuità e Accoglienza; Orientamento; Valutazione e Autovalutazione; Formazione Docenti,Lazio,Roma,Ic Anzio V,RMIC8C600P,"Comprensivo, I Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria",Azioni di Sistema e Governance,Curricolo verticale per un percorso formativo unitario,Continuità e Accoglienza | Orientamento | Valutazione e Autovalutazione | Formazione Docenti
Formazione Docenti; Inclusione e BES; Digitalizzazione; Orientamento,Lazio,Roma,Ic Via Marelli,RMIC8E4008,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Azioni di Sistema e Governance,Funzioni Strumentali per Aree Specifiche,Formazione Docenti | Inclusione e BES | Digitalizzazione | Orientamento
Valutazione e Autovalutazione; Inclusione e BES; Orientamento,Lazio,Roma,Ic Via Marelli,RMIC8E4008,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Metodologie Didattiche Innovative,Superamento Didattica Tradizionale e Metodi Innovativi,Valutazione e Autovalutazione | Inclusione e BES | Orientamento
Arte e Creatività; Orientamento; Intercultura e Lingue; Continuità e Accoglienza,Lazio,Roma,Ic Via Marelli,RMIC8E4008,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Progetti e Attività Esemplari,Classe ad Indirizzo Artistico,Arte e Creatività | Orientamento | Intercultura | Continuità e Accoglienza
Orientamento,Lazio,Roma,Ic Via Marelli,RMIC8E4008,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Progetti e Attività Esemplari,Progetto Orientamento (Scuola Secondaria),Orientamento
Orientamento; Formazione Docenti; Rapporti con Famiglie; Continuità e Accoglienza,Lazio,Roma,Ic Via Marelli,RMIC8E4008,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Partnership e Collaborazioni Strategiche,Reti con Università ed Enti Locali per l'Offerta Formativa,Orientamento | Formazione Docenti | Rapporti con Famiglie | Continuità e Accoglienza
Orientamento; Valutazione e Autovalutazione; Formazione Docenti,Lazio,Roma,I.C. Velletri Centro,RMIC8F9002,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Azioni di Sistema e Governance,Introduzione Autovalutazione Formativa e Orientativa degli Allievi,Orientamento | Valutazione e Autovalutazione | Formazione Docenti
Sport e Benessere; Orientamento; Prevenzione Disagio,Lazio,Roma,I.C. Velletri Centro,RMIC8F9002,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Progetti e Attività Esemplari,Progetto Scuola Attiva Kids e Junior,Sport e Benessere | Orientamento | Prevenzione Disagio
Inclusione e BES; Orientamento; Lettura e Scrittura; Matematica e Logica; Lingue Straniere; Valutazione e Autovalutazione,Lazio,Roma,I.C. Velletri Centro,RMIC8F9002,"Comprensivo, I Grado, II Grado, Infanzia, Primaria","I Grado, Infanzia, Primaria, Professionale",Progetti e Attività Esemplari,Progetto 'Il futuro nelle tue mani',Inclusione e BES | Orientamento | Lettura e Scrittura | Matematica e Logica | Lingue Straniere | Valutazione e Autovalutazione
