percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
NA;NA;IC;BAIC89400E;DE AMICIS - GIOVANNI XXIII;PIAZZA DI VAGNO, 18;ACQUAVIVA DELLE FONTI;80761314;80762997;baic89400e@istruzione.it;sud_altro
NA;NA;IC;PAIC884002;SAN GIUSEPPE JATO;CONTRADA MORTILLI;SAN GIUSEPPE JATO;918579953;918661056;paic884002@istruzione.it;sud_altro
NA;NA;IC;VR1M00800G;ALLE STIMATE;VIA C. MONTANARI, 1;VERONA;045 8006662;458006662;scuolestimate@scuolestimate.eu;nord_metro
NA;NA;IC;FEIC808004;ALBERTO MANZI - S. BARTOLOMEO IN B.;VIA MASI, 114;FERRARA;0532 722164;532722164;feic808004@istruzione.it;nord_metro
licei_altro;PVPC00701B;LICEO SCIENTIFICO GOLGI - BRONI;PVIS007004;IIS L. G. FARAVELLI;VIA DE AMICIS, 35;STRADELLA;38548686;38548686;PVIS007004@istruzione.it;licei_altro_nord_altro
licei_trad;TOPC10500T;"""MAURILIO FOSSATI""";TOPC10500T;MAURILIO FOSSATI;CORSO FRANCIA, 15;RIVOLI;011.9586336 011.9561156;011.9586336 011.9561156;rivoli@murialdo.it;licei_trad_nord_altro
licei_altro;CTSD02000E;"LICEO ARTISTICO STATALE ""M.M. LAZZARO""";CTSD02000E;M. M. LAZZARO;VIA GENERALE AMEGLIO, 15;CATANIA;956136410;956136410;CTSD02000E@istruzione.it;licei_altro_sud_metro
licei_altro;CBPC02601V;"LICEO LINGUISTICO ""PERTINI""";CBIS02600G;S. PERTINI - L. MONTINI - V. CUOCO;VIA PRINCIPE DI PIEMONTE, 2/C;CAMPOBASSO;87496958;87496958;CBIS02600G@ISTRUZIONE.IT;licei_altro_sud_metro
IP;ORRA009017;I.P.S.A.A. E I.P.S.A.A.R. DON D. MELONI;ORIS009007;DON DEODATO MELONI;LOCALITÀ PALLONI SNC - NURAXINIEDDU;ORISTANO;0783 3444222;784230880;ORIS009007@istruzione.it;IP_sud_metro
licei_altro;CSPS18000D;"LS ""PITAGORA"" RENDE";CSPS18000D;LICEO SCIENTIFICO - LINGUISTICO PITAGORA;VIA S. PERTINI SNC;RENDE;984462682;0984-462682;CSPS18000D@istruzione.it;licei_altro_sud_altro
licei_trad;AGPS00101A;A. SCIASCIA;AGIS00100X;UGO FOSCOLO;VIA PIRANDELLO, 6;CANICATTÌ;922851006;922851006;AGIS00100X@istruzione.it;licei_trad_sud_altro
IT;NATD12601C;TD ITCG ARCHIMEDE-NAPOLI-;NAIS126006;ARCHIMEDE;VIA EMILIO SALGARI, 8;NAPOLI;081 7746398;817746398;NAIS126006@istruzione.it;IT_sud_metro
licei_trad;RMPS11201N;GUGLIELMO MARCONI;RMIS112007;GUGLIELMO MARCONI;VIA CIRO CORRADETTI, 2;CIVITAVECCHIA;06 121124375;6121124375;RMIS112007@istruzione.it;licei_trad_nord_altro
IP;PZRI021014;I.P.S.I.A. - VENOSA (PZ);PZIS02100C;Q. ORAZIO FLACCO;VIA EMILIA, 32;VENOSA;0972 207954;0972/207954;PZIS02100C@istruzione.it;IP_sud_altro
IT;TPTD00202C;IST.TEC. COMM.LE PARTANNA;TPIS002005;F. D'AGUIRRE- D. ALIGHIERI;VIA BAVIERA, 1;SALEMI;924534873;924981344;TPIS002005@istruzione.it;IT_sud_altro
licei_trad;FEPS00401B;LICEO SCIENT. T.LEVI CIVITA;FEIS004001;GUIDO MONACO DI POMPOSA;VIALE DELLA RESISTENZA, 3;CODIGORO;533712164;533712164;FEIS004001@istruzione.it;licei_trad_nord_altro
IT;PATDEE500L;NICCOLO' MACHIAVELLI;PATDEE500L;NICCOLO' MACHIAVELLI;VIA DELLA FERROVIA, 54;PALERMO;NA;NA;Non Disponibile;IT_sud_metro
IP;BLRI001013;"I.P.S.I.A. ""OTTICA""";BLIS00100B;ENRICO FERMI;VIA VALCALDA, 1;PIEVE DI CADORE;43533072;43533072;BLIS00100B@istruzione.it;IP_nord_altro
IT;TVTN00401B;ITT VERDI (S.C. I.S. VERDI);TVIS004007;GIUSEPPE VERDI;VIA S. VENANZIO FORTUNATO, 21;VALDOBBIADENE;0423 975973;0423 975973;TVIS004007@istruzione.it;IT_nord_altro
licei_altro;VIPS08000D;"L.S. ""DA VINCI"" ARZIGNANO";VIPS08000D;L.S. DA VINCI ARZIGNANO;VIA FORTIS , 3;ARZIGNANO;444676125;0444/676125;VIPS08000D@istruzione.it;licei_altro_nord_altro
IP;RERF070004;"I P S S I ""M. CARRARA""";RERF070004;I.P.S.S.I. MARIO CARRARA;VIA SACCO E VANZETTI, 1;GUASTALLA;0522 824682;522824682;RERF070004@istruzione.it;IP_nord_altro
IT;PSTF01000N;"I.T.I.S. ""E. MATTEI""";PSTF01000N;E. MATTEI;VIA LUCA PACIOLI, 22;URBINO;722328021;722328021;PSTF01000N@istruzione.it;IT_nord_metro
licei_trad;MBPSIE500B;COLLEGIO S. ANTONIO;MBPSIE500B;COLLEGIO S. ANTONIO - OPZIONE SCIENZE APPLICATE;VIA MANZONI, 13;BUSNAGO;396820180;396820180;segreteria@collegiosantantonio.com;licei_trad_nord_altro
IT;BLTF01101E;"I.T.I. ""G. SEGATO""";BLIS011002;SEGATO;VIA J. TASSO, 11;BELLUNO;437940159;437940157;BLIS011002@istruzione.it;IT_nord_metro
IT;AVTLU25001;COSTRUZIONI AMBIENTE E TERRITORIO PARITARIO KENNEDY;AVTLU25001;CENTRO SCOLASTICO KENNEDY;VIA CIRCUMVALLAZIONE, 13;AVELLINO;825780564;0825/780564;info@kennedyavellino.it;IT_sud_metro
IT;PETF00301C;"ITI ""E.ALESSANDRINI"" MONTESILVANO";PEIS00300X;E. ALESSANDRINI;VIA C. D'AGNESE;MONTESILVANO;854680209;854680209;PEIS00300X@istruzione.it;IT_sud_altro
IP;TNCF005001;NA;TNCF005001;OPERA ARMIDA BARELLI - ROVERETO;VIA SETAIOLI, 5;ROVERETO;0464 433771;0464 433771;NA;IP_nord_altro
licei_altro;CTSL01002C;"LICEO ARTISTICO ""E. GRECO""";CTSL01000A;EMILIO GRECO;VIA MAVILLA, 37 - VICO BUONAFÈ, 9;CATANIA;095/6136420;953522743;CTSL01000A@istruzione.it;licei_altro_sud_metro
IP;MIRC300004;I.P. - V. KANDINSKY;MIRC300004;IPSSCSI W. KANDINSKY;VIA C. BARONI, 35;MILANO;28260979;28260979;MIRC300004@istruzione.it;IP_nord_metro
licei_altro;FGPM03000E;"LICEO ""CAROLINA POERIO""";FGPM03000E;POERIO;CORSO ROMA, 1;FOGGIA;0881 721392;0881 721392;FGPM03000E@istruzione.it;licei_altro_sud_metro
