percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
IT;VRTA01204R;"""STEFANI BENTEGODI"" VILLAFRANCA DI VR";VRIS01200T;STEFANI - BENTEGODI;VIA RIMEMBRANZA, 53;ISOLA DELLA SCALA;0457300252 0457300639 0456639456;457300252;Non Disponibile;IT_nord_altro
IT;METD08500D;LEOPARDI;METD08500D;LEOPARDI;VIA EOLIE 10;BARCELLONA POZZO DI GOTTO;3711132104;941911905;LEOPARDI.ISTITUTO@GMAIL.COM;IT_sud_altro
licei_trad;COPSTL500E;Liceo Artigianale - scientifico opzione scienze applicate quadriennale;COPSTL500E;LICEO ARTIGIANALE - OPZIONE SCIENZE APPLICATE;VIA MADRUZZA, 36;COMO;31263779;31263779;cometa.formazione@puntocometa.org;licei_trad_nord_metro
licei_trad;PAPC01000V;LICEO GINNASIO DI STATO (F. SCADUTO);PAPC01000V;LICEO GINNASIO DI STATO F. SCADUTO;VIA DANTE, 22;BAGHERIA;091 961359;916142456;PAPC01000V@istruzione.it;licei_trad_sud_altro
IP;PGRC00301D;"""SALVATORELLI-MONETA"" PROFESSIONALE";PGIS00300E;"OMNICOMPRENSIVO ""SALVATORELLI-MONETA""";VIA F. SATOLLI, 4 - SS1;MARSCIANO;758743310;758742353;PGIS00300E@istruzione.it;IP_nord_altro
IT;BNTDHO5008;"""SAN GIULIANA""";BNTDHO5008;SAN GIULIANA;VIA SAN ROCCO SNC;FRASSO TELESINO;824279323;818318981;Non Disponibile;IT_sud_altro
licei_altro;TEPC01201L;LICEO CLASSICO MELCHIORRE DELFICO;TEIS012009;DELFICO - MONTAUTI;PIAZZA DANTE, 20;TERAMO;861250664;861787703;TEIS012009@istruzione.it;licei_altro_sud_metro
licei_trad;RMPS37000A;E. MAJORANA;RMPS37000A;E. MAJORANA;VIA C. AVOLIO, 111;ROMA;6121127420;06 121127420;RMPS37000A@istruzione.it;licei_trad_nord_metro
IP;CSRF05101X;IPSS COSENZA;CSIS051007;IPSSS - ITAS;VIALE G. MANCINI, 311;COSENZA;984483941;984483941;CSIS051007@istruzione.it;IP_sud_metro
IP;NARI05801C;"IPSIA ""L. DE' MEDICI"" OTTAVIANO";NAIS05800R;L. DE MEDICI;VIA ZABATTA, 19;OTTAVIANO;081 5293222;815293222;NAIS05800R@istruzione.it;IP_sud_altro
licei_altro;CHPM01901C;LICEO DE TITTA - IIS DE TITTA FERMI;CHIS019001;CESARE DE TITTA - E. FERMI;VIALE GUGLIELMO MARCONI, 14;LANCIANO;872716381;872716381;CHIS019001@istruzione.it;licei_altro_sud_altro
IT;FETL00901R;I.T. COSTRUZIONI AMBIENTE E TERRITORIO;FEIS009004;G.B. ALEOTTI;VIA C. RAVERA, 11;FERRARA;0532 94058;53294058;FEIS009004@istruzione.it;IT_nord_metro
IP;SIRH030008;PELLEGRINO ARTUSI;SIRH030008;P. ARTUSI;VIA DEL MORELLONE, 1;CHIANCIANO TERME;57863674;57863674;SIRH030008@istruzione.it;IP_nord_altro
licei_altro;AGPM01801R;GIUDICI SAETTA E LIVATINO;AGIS018009;GIUDICI SAETTA E LIVATINO;VIA LAURICELLA, 2;RAVANUSA;922875745;0922 875745;AGIS018009@istruzione.it;licei_altro_sud_altro
licei_trad;MTPS012017;"L.SCIENT.""G.B.PENTASUGLIA"" -MATERA";MTIS01200R;I.I.S. G.B. PENTASUGLIA;VIA E. MATTEI SNC;MATERA;835264114;803113022;MTIS01200R@istruzione.it;licei_trad_sud_metro
IT;VETFO1500N;ISTITUTO TECNICO TECNOLOGICO INDIRIZZO GRAFICA E COMUNICAZIONE ABATE ZANETTI;VETFO1500N;ABATE ZANETTI - INDIRIZZO GRAFICA E COMUNICAZIONE;CALLE BRIATI, 8/B;VENEZIA;419343838;498751151;SEGRETERIA@ABATEZANETTI.IT;IT_nord_metro
licei_trad;SITF020002;TITO SARROCCHI;SITF020002;TITO SARROCCHI;VIA PISACANE 3;SIENA;577218357;577940322;SITF020002@istruzione.it;licei_trad_nord_metro
IT;RCTA011017;ITA CAULONIA ASS.IIS Z.BIANCO M.GIOIOSA;RCIS01100B;ZANOTTI BIANCO;VIA G. DI VITTORIO 2;MARINA DI GIOIOSA IONICA;0964048040 0964417700;964388396;RCIS01100B@istruzione.it;IT_sud_altro
