percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato
licei_altro;PIPS01000Q;LICEO SCIENTIFICO G.MARCONI;PIPS01000Q;MARCONI;VIA TRENTO, 74 - LOC. LA SCALA;SAN MINIATO;0571 418392 419879;490990001;PIPS01000Q@istruzione.it;licei_altro_nord_altro
licei_trad;AQPS018016;LICEO SCIENTIFICO A. BAFILE;AQIS01800Q;A. BAFILE;VIA ACQUASANTA, 16;L'AQUILA;862410212;862410212;AQIS01800Q@istruzione.it;licei_trad_sud_metro
licei_altro;RMPS024013;"LICEO SCIENTIFICO ""GUGLIELMO MARCONI""";RMIS02400L;I.I.S.VIA DELLE SCIENZE COLLEFERRO;VIA DELLE SCIENZE E DELLA TECNICA SNC;COLLEFERRO;6121126040;6121126040;RMIS02400L@istruzione.it;licei_altro_nord_altro
licei_altro;NASD04000B;"LICEO ARTISTICO STATALE-""G. DE CHIRICO""";NASD04000B;G. DE CHIRICO;VIA VITTORIO VENETO, 514;TORRE ANNUNZIATA;081 536 28 38;815721777;NASD04000B@istruzione.it;licei_altro_sud_altro
licei_trad;RMPS094019;ARCHIMEDE;RMIS09400V;PACINOTTI - ARCHIMEDE;VIA MONTAIONE, 15;ROMA;6121123545;6111123545;RMIS09400V@istruzione.it;licei_trad_nord_metro
licei_altro;GEPMAH500O;Duchessa di Galliera;GEPMAH500O;DUCHESSA DI GALLIERA;CORSO MENTANA, 27;GENOVA;10541907;NA;duchessadigalliera@genoaschool.eu;licei_altro_nord_metro
licei_trad;NAPS36000R;"L.SCIENT.""CARLO URBANI""SAN GIORGIO A CR.";NAPS36000R;LICEO STATALE CARLO URBANI;VIA BUONGIOVANNI, 77;SAN GIORGIO A CREMANO;815749361;081 5749361;NAPS36000R@istruzione.it;licei_trad_sud_altro
licei_trad;PAPS3Q5009;ISTITUTO GONZAGA;PAPS3Q5009;ISTITUTO GONZAGA;VIA PIERSANTI MATTARELLA N. 38-42;PALERMO;91302093;91302093;segreteria@gonzagapalermo.it;licei_trad_sud_metro
licei_trad;CEPS875001;SACRO CUORE DI MARIA;CEPS875001;IST. SALESIANI SACRO CUORE DI MARIA;VIA DON BOSCO, 34;CASERTA;823215716;823215711;SEGRETERIA@SALESIANICASERTA.ORG;licei_trad_sud_metro
IP;MIRFHT500U;BARBARA MELZI;MIRFHT500U;BARBARA MELZI;CORSO SEMPIONE, 102;LEGNANO;0331 440049;0331 440049;canlegmi@fdcc.org;IP_nord_altro
IP;MERI03701E;"IST PROF.LE "" A.M. JACI""";MEIS03700V;"IST. TEC. ECONOMICO ""A.M.JACI""";VIA CESARE BATTISTI 88;MESSINA;909488006;3385706076;Non Disponibile;IP_sud_metro
IT;CNTD01101Q;"CEVA ""G. BARUFFI""";CNIS01100D;G. BARUFFI;PIAZZA GALLIANO, 3;CEVA;174701024;174701024;CNIS01100D@istruzione.it;IT_nord_altro
IT;CTTF04301X;ITI G.MARCONI;CTIS04300B;I.I.S. MARCONI - MANGANO;VIA VESCOVO MAURIZIO, 82;CATANIA;3475768460;956136460;CTIS04300B@istruzione.it;IT_sud_metro
IT;FETF014014;ISTITUTO TECNICO SETTORE TECNOLOGICO;FEIS01400G;F.LLI TADDIA;VIA BARUFFALDI, 10;CENTO;516856411;516856411;FEIS01400G@istruzione.it;IT_nord_altro
IP;BORF02701G;I.P. SERV. SOC. E PUBBLICITA' E. SIRANI;BOIS02700V;CRESCENZI - PACINOTTI - SIRANI;VIA SARAGOZZA, 9;BOLOGNA;513397411;513397411;BOIS02700V@istruzione.it;IP_nord_metro
licei_altro;MIPMU4500Z;LICEO DELLE SCIENZE UMANE OPZ. ECONOMICO SOCIALE SAN CARLO;MIPMU4500Z;COLLEGIO SAN CARLO;CORSO MAGENTA, 71;MILANO;2.430.631;2430631;csc@collegiosancarlo.it;licei_altro_nord_metro
licei_altro;MEPMEB500L;LICEO DELLE SCIENZE UMANE;MEPMEB500L;S. IGNAZIO;VIA IGNATIANUM, 23;MESSINA;90360754;9043669;amministrazione@collegiosignazio.it;licei_altro_sud_metro
licei_trad;AVPS12000T;LICEO SCIENTIFICO P. S. MANCINI;AVPS12000T;P. S. MANCINI;VIA DE CONCILII, 1;AVELLINO;8251643363;8251643363;AVPS12000T@istruzione.it;licei_trad_sud_metro
