percorso2;plesso;denominazionescuola;istituto;nome_istituto;indirizzo;nome_comune;tel_segreteria;tel_dirigente;indirizzoemailscuola;strato;grado;tipo_scuola_std;territorio_std
licei_trad;ROPM01000Q;"LICEO ""CELIO-ROCCATI"" ROVIGO";ROPM01000Q;CELIO - ROCCATI;VIA CARDUCCI, 8;ROVIGO;42521012;0425 21012;ROPM01000Q@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
IT;TNTF01301D;;TNIS013001;ITT BUONARROTI;VIA BRIGATA ACQUI, 15;TRENTO;461216811;461216811;;IT_nord_metro;II Grado;Tecnico;Metropolitano
licei_trad;GETF014018;LICEO E ITS I. CALVINO;GEIS01400Q;IIS ITALO CALVINO;VIA BORZOLI, 21;GENOVA;106504672;3491398014;GEIS01400Q@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
IP;BORC10500R;ISTITUTO SALESIANO BEATA VERGINE DI SAN LUCA;BORC10500R;BEATA VERGINE DI SAN LUCA;VIA JACOPO DELLA QUERCIA, 1;BOLOGNA;051 4151711 - 4151703;514151711;segreteria.bolognabv@salesiani.it;IP_nord_metro;II Grado;Professionale;Metropolitano
licei_altro;VAPLVL5003;LICEO LINGUISTICO COLLEGIO ROTONDI;VAPLVL5003;COLLEGIO ROTONDI;VIA SAN MAURIZIO, 4;GORLA MINORE;331.604.425;331601106;rettore@collegiorotondi.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
IT;ALTL00601A;"""PIER LUIGI NERVI""";ALIS00600N;VINCI-NERVI-FERMI;VIA TROTTI, 19;ALESSANDRIA;131252217;131252217;ALIS00600N@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
IT;ISTD003018;E.DE NICOLA;ISIS003002;A. GIORDANO;VIA MAIELLA, 41-43;VENAFRO;0865 904124;865904124;ISIS003002@istruzione.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
licei_trad;PTPS00301L;ENRICO FERMI;PTIS003006;ENRICO FERMI;VIALE VILLA VITTORIA 240 - SAN MARCELLO PISTOIESE;SAN MARCELLO PITEGLIO;573621429;57362141;PTIS003006@istruzione.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
IT;LUTF004018;FRANCESCO VECCHIACCHI;LUIS00400Q;ISI GARFAGNANA;VIA XX APRILE, 12;CASTELNUOVO DI GARFAGNANA;0583 62454;584989027;LUIS00400Q@istruzione.it;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
IP;MIRC08901T;I.P. -G. PUECHER-A. OLIVETTI(SUCCURSALE);MIIS08900V;PUECHER - A. OLIVETTI;VIA BERSAGLIO, 56;RHO;29302236;29302236;MIIS08900V@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
licei_altro;BRPC04000P;"LICEO ""MARZOLLA-LEO-SIMONE-DURANO""";BRPC04000P;MARZOLLA - LEO - SIMONE - DURANO;VIA NARDELLI, 2;BRINDISI;831516102;831516102;BRPC04000P@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
licei_trad;SAPC07201R;"""G. B. VICO""";SAIS07200D;G. B. VICO;PIAZZA CIANCIULLO, 1;NOCERA INFERIORE;815176462;815176462;SAIS07200D@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
IP;VCRH040008;G. PASTORE;VCRH040008;G. PASTORE;VIA D'ADDA, 33;VARALLO;16351753;163826552;VCRH040008@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
licei_trad;ALTF01000R;ALESSANDRO VOLTA;ALTF01000R;ALESSANDRO VOLTA;SPALTO MARENGO, 42;ALESSANDRIA;131227239;131227239;ALTF01000R@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
licei_altro;MIPC09500C;LICEO CLASSICO ISTITUTO GONZAGA;MIPC09500C;GONZAGA;V. VITRUVIO, 41;MILANO;02 6693141;26693141;SEGRETERIA@GONZAGA-MILANO.IT;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
IT;LETL04201D;"I.T.G. ""G. GALILEI"" LECCE";LEIS04200R;I.I.S.S.GALILEI - COSTA - SCARAMBONE;PIAZZA PALIO;LECCE;832305919;832397005;LEIS04200R@istruzione.it;IT_sud_metro;II Grado;Tecnico;Metropolitano
IP;RORI01201L;GIUSEPPE MARCHESINI - IPSIA;ROIS012001;FERRUCCIO VIOLA - GIUSEPPE MARCHESINI;VIA A. DE GASPERI, 21;ROVIGO;425410699;4251713700;ROIS012001@istruzione.it;IP_nord_metro;II Grado;Professionale;Metropolitano
licei_trad;VAPS026014;LICEO SCIENT. OPZIONE SCIENZE APPLICATE;VAIS02600N;L. GEYMONAT;VIA GRAMSCI, 1;TRADATE;0331 842371;331619000;VAIS02600N@istruzione.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
licei_altro;AQPM01000G;"""BENEDETTO CROCE""";AQPM01000G;B. CROCE;VIA CAVALIERI DI VITTORIO VENETO, 9;AVEZZANO;863412264;3334229894;AQPM01000G@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
IP;GRRC01201P;SERVIZI COMMERCIALI;GRIS01200Q;POLO ISTRUZIONE SUPERIORE;PIAZZA DE MARIA, 31;GROSSETO;564484853;564484851;GRIS01200Q@istruzione.it;IP_nord_metro;II Grado;Professionale;Metropolitano
IT;SOTA01000X;ISTITUTO TECNICO AGRARIO;SOTA01000X;ISTITUTO TECNICO AGRARIO;SALITA SCHENARDI, 6;SONDRIO;0342 212153;3,90342E+11;SOTA01000X@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
IT;RCTD01601R;I.T.COM.GEOM.INFO.TEL.BOVA M.IIS EUCLIDE;RCIS01600E;"ISTITUTO SUPERIORE ""EUCLIDE""";C.DA MONOSCALCO;BOVA MARINA;965499401;3205713561;RCIS01600E@istruzione.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
;;IC;TOIC8AB00N;IVREA II;VIALE DELLA LIBERAZIONE N. 14;IVREA;125641088;125641088;toic8ab00n@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;MOIC84800N;MODENA 10;STRADA ALBARETO, 93;MODENA;59313165;;moic84800n@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;TAIC80300X;L. PIRANDELLO;VIA PASTORE SNC;TARANTO;994721184;994721184;taic80300x@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;TN1M001004;IST. SALESIANO S. CROCE;VIA MOLAREN, 29;MEZZANO;439762019;;segreteria@sdbmezzano.it;nord_altro;ND;ND;Non Metropolitano
;;IC;CEIC87400L;SAN MARCELLINO CENTRO;VIA STARZA SNC;SAN MARCELLINO;081 8121614;081 8123884;ceic87400l@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;SAIC8A700R;GENNARO BARRA;VIA LUNGOMARE TRIESTE, 17;SALERNO;892753012;67910323;saic8a700r@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;TOIC8A100T;VITTORINO DA FELTRE - FERMI;VIA FINALMARINA, 5;TORINO;1101166100;1101166100;toic8a100t@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;RCIC87300E;VITRIOLI - PRINCIPE DI PIEMONTE;VIA POSSIDONEA, 19;REGGIO DI CALABRIA;965891530;965891530;rcic87300e@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;BSIC83900G;IC COCCAGLIO;VIA G. MATTEOTTI, 10/A;COCCAGLIO;030 7721190;307721457;segreteria@iccoccaglio.net;nord_altro;ND;ND;Non Metropolitano
;;IC;CNIC854007;PADRE G. GIROTTI - QUARTIERE PIAVE - SAN CASSIANO;CORSO EUROPA, 134;ALBA;0173 280057;0173 280057;cnic854007@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;SRIC81900E;CARLO V;VIA DELLO STADIO, 32;CARLENTINI;095 993791;95993791;sric81900e@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;AGIC848001;FRANCESCO GIORGIO;VIA DANTE, 14;LICATA;9221837367;9221837367;agic848001@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;SRIC82100E;I - E. DE AMICIS;VIA DE AMICIS, 1;FLORIDIA;931941753;931941753;sric82100e@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;TAIC829004;G. SALVEMINI;VIA GREGORIO VII SNC;TARANTO;997774924;997774924;taic829004@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;MCIC83100E;NICOLA BADALONI;VIA SPAZZACAMINO, 11;RECANATI;717574394;717574394;mcic83100e@istruzione.it;nord_altro;ND;ND;Non Metropolitano
IP;VRPQ02500E;I.P. SERVIZI SOCIO SANITARI SACRA FAMIGLIA;VRPQ02500E;ISTITUTO PROFESSIONALE DEI SERVIZI SOCIO SANITARI;VIA G. NASCIMBENI, 10;VERONA;045 8185704;458185702;sacrafamigliavr.mondopiccolo@gmail.com;IP_nord_metro;II Grado;Professionale;Metropolitano
IP;BNRC02301T;FAICCHIO;BNIS02300V;BNIS02300V;VIA RAFFAELE DELCOGLIANO;FAICCHIO;824863478;0874/34393;BNIS02300V@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
IP;RMRC10301B;GIULIO VERNE;RMIS10300C;IIS VIA DI SAPONARA 150;VIA DI SAPONARA, 150;ROMA;6121125745;6121125745;RMIS10300C@istruzione.it;IP_nord_metro;II Grado;Professionale;Metropolitano
licei_altro;CRPC02000A;"""DANIELE MANIN""";CRPC02000A;DANIELE MANIN;VIA CAVALLOTTI, 2;CREMONA;37221545;0372/21545;CRPC02000A@istruzione.it;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
licei_altro;BSPM6Z500C;Annibale Maria di Francia;BSPM6Z500C;ANNIBALE MARIA DI FRANCIA;VIALE MOTTA, 54;DESENZANO DEL GARDA;309141743;309141743;presidenza@scuolerogazionistidesenzano.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
IP;RGRH020005;PRINCIPI GRIMALDI;RGRH020005;PRINCIPI GRIMALDI;VIALE DEGLI OLEANDRI, 19;MODICA;932762991;932762991;RGRH020005@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
IT;PRTA00201G;FABIO BOCCHIALINI;PRIS00200Q;GALILEI - BOCCHIALINI;VIA CEFALONIA, 14;SAN SECONDO PARMENSE;0521871536 - 0521871593;0521871536-0521871593;PRIS00200Q@istruzione.it;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
licei_altro;RMPL50500Q;LICEO LINGUISTICO VISCONTI;RMPL50500Q;VISCONTI;VIA NAZARIO SAURO, 1;ROMA;639741489;639741489;segreteria@istitutovisconti.it;licei_altro_nord_metro;II Grado;Liceo;Metropolitano
licei_trad;PZPC00601N;"L.C. ""N. CARLOMAGNO"" LAURIA";PZIS00600A;N. MIRAGLIA;VIA CERSE DELLO SPEZIALE;LAURIA;973823966;838726919;PZIS00600A@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
IT;VRTA01204R;"""STEFANI BENTEGODI"" VILLAFRANCA DI VR";VRIS01200T;STEFANI - BENTEGODI;VIA RIMEMBRANZA, 53;ISOLA DELLA SCALA;0457300252 0457300639 0456639456;457300252;Non Disponibile;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
IT;METD08500D;LEOPARDI;METD08500D;LEOPARDI;VIA EOLIE 10;BARCELLONA POZZO DI GOTTO;3711132104;941911905;LEOPARDI.ISTITUTO@GMAIL.COM;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
licei_trad;COPSTL500E;Liceo Artigianale - scientifico opzione scienze applicate quadriennale;COPSTL500E;LICEO ARTIGIANALE - OPZIONE SCIENZE APPLICATE;VIA MADRUZZA, 36;COMO;31263779;31263779;cometa.formazione@puntocometa.org;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
licei_trad;PAPC01000V;LICEO GINNASIO DI STATO (F. SCADUTO);PAPC01000V;LICEO GINNASIO DI STATO F. SCADUTO;VIA DANTE, 22;BAGHERIA;091 961359;916142456;PAPC01000V@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
IP;PGRC00301D;"""SALVATORELLI-MONETA"" PROFESSIONALE";PGIS00300E;"OMNICOMPRENSIVO ""SALVATORELLI-MONETA""";VIA F. SATOLLI, 4 - SS1;MARSCIANO;758743310;758742353;PGIS00300E@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
IT;BNTDHO5008;"""SAN GIULIANA""";BNTDHO5008;SAN GIULIANA;VIA SAN ROCCO SNC;FRASSO TELESINO;824279323;818318981;Non Disponibile;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
licei_altro;TEPC01201L;LICEO CLASSICO MELCHIORRE DELFICO;TEIS012009;DELFICO - MONTAUTI;PIAZZA DANTE, 20;TERAMO;861250664;861787703;TEIS012009@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
licei_trad;RMPS37000A;E. MAJORANA;RMPS37000A;E. MAJORANA;VIA C. AVOLIO, 111;ROMA;6121127420;06 121127420;RMPS37000A@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
IP;CSRF05101X;IPSS COSENZA;CSIS051007;IPSSS - ITAS;VIALE G. MANCINI, 311;COSENZA;984483941;984483941;CSIS051007@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
IP;NARI05801C;"IPSIA ""L. DE' MEDICI"" OTTAVIANO";NAIS05800R;L. DE MEDICI;VIA ZABATTA, 19;OTTAVIANO;081 5293222;815293222;NAIS05800R@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
licei_altro;CHPM01901C;LICEO DE TITTA - IIS DE TITTA FERMI;CHIS019001;CESARE DE TITTA - E. FERMI;VIALE GUGLIELMO MARCONI, 14;LANCIANO;872716381;872716381;CHIS019001@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
IT;FETL00901R;I.T. COSTRUZIONI AMBIENTE E TERRITORIO;FEIS009004;G.B. ALEOTTI;VIA C. RAVERA, 11;FERRARA;0532 94058;53294058;FEIS009004@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
IP;SIRH030008;PELLEGRINO ARTUSI;SIRH030008;P. ARTUSI;VIA DEL MORELLONE, 1;CHIANCIANO TERME;57863674;57863674;SIRH030008@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
licei_altro;AGPM01801R;GIUDICI SAETTA E LIVATINO;AGIS018009;GIUDICI SAETTA E LIVATINO;VIA LAURICELLA, 2;RAVANUSA;922875745;0922 875745;AGIS018009@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
licei_trad;MTPS012017;"L.SCIENT.""G.B.PENTASUGLIA"" -MATERA";MTIS01200R;I.I.S. G.B. PENTASUGLIA;VIA E. MATTEI SNC;MATERA;835264114;803113022;MTIS01200R@istruzione.it;licei_trad_sud_metro;II Grado;Liceo;Metropolitano
IT;VETFO1500N;ISTITUTO TECNICO TECNOLOGICO INDIRIZZO GRAFICA E COMUNICAZIONE ABATE ZANETTI;VETFO1500N;ABATE ZANETTI - INDIRIZZO GRAFICA E COMUNICAZIONE;CALLE BRIATI, 8/B;VENEZIA;419343838;498751151;SEGRETERIA@ABATEZANETTI.IT;IT_nord_metro;II Grado;Tecnico;Metropolitano
licei_trad;SITF020002;TITO SARROCCHI;SITF020002;TITO SARROCCHI;VIA PISACANE 3;SIENA;577218357;577940322;SITF020002@istruzione.it;licei_trad_nord_metro;II Grado;Liceo;Metropolitano
IT;RCTA011017;ITA CAULONIA ASS.IIS Z.BIANCO M.GIOIOSA;RCIS01100B;ZANOTTI BIANCO;VIA G. DI VITTORIO 2;MARINA DI GIOIOSA IONICA;0964048040 0964417700;964388396;RCIS01100B@istruzione.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
;;IC;SVIC81300R;VARAZZE - CELLE NELSON MANDELA;VIA CAMOGLI GIOVANNI BAT., 6;VARAZZE;1997394;19514088;svic81300r@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;RM1M11200L;SCHOLA PUERORUM;VIA DEL MONTE DELLA FARINA 64;ROMA;06 6868553;66868553;segreteria@scholapuerorum.org;nord_metro;ND;ND;Metropolitano
;;IC;NAIC8E6001;GRAGNANO 3 - STAGLIE - P.CO IMPERIALE;VIA G. LEOPARDI, 10 - PARCO IMPERIALE;GRAGNANO;818702141;818702141;naic8e6001@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;RM1M09900B;ISTITUTO SALESIANO PIO XI;V. UMBERTIDE, 11;ROMA;06 78440179;678440176;segreteria@pioundicesimo.org;nord_metro;ND;ND;Metropolitano
;;IC;TOIC8BG00B;SAN BENIGNO CANAVESE;CORSO ITALIA, 34;SAN BENIGNO CANAVESE;011 9880562;;toic8bg00b@istruzione.it;nord_altro;ND;ND;Non Metropolitano
;;IC;ARVC010009;V. EMANUELE II;VIA CARDUCCI, 5;AREZZO;057521436 - 0575351370;575401408;arvc010009@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;PZIC88800P;L. MILANI - POTENZA IV;VIA TIRRENO;POTENZA;971594191;971594191;pzic88800p@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;FGIC85900G;PARISI DE SANCTIS;VIA MARCHESE DE ROSA, 23;FOGGIA;881617816;881617816;fgic85900g@istruzione.it;sud_metro;ND;ND;Metropolitano
;;IC;CTIC823002;PIERO GOBETTI;VIA PIERSANTI MATTARELLA SNC;CALTAGIRONE;93325663;;ctic823002@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;VEIC846005;FRANCESCOQUERINI;VIA CATALANI, 9 - MESTRE;VENEZIA;41984807;;veic846005@istruzione.it;nord_metro;ND;ND;Metropolitano
;;IC;BAIC89400E;DE AMICIS - GIOVANNI XXIII;PIAZZA DI VAGNO, 18;ACQUAVIVA DELLE FONTI;80761314;80762997;baic89400e@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;PAIC884002;SAN GIUSEPPE JATO;CONTRADA MORTILLI;SAN GIUSEPPE JATO;918579953;918661056;paic884002@istruzione.it;sud_altro;ND;ND;Non Metropolitano
;;IC;VR1M00800G;ALLE STIMATE;VIA C. MONTANARI, 1;VERONA;045 8006662;458006662;scuolestimate@scuolestimate.eu;nord_metro;ND;ND;Metropolitano
;;IC;FEIC808004;ALBERTO MANZI - S. BARTOLOMEO IN B.;VIA MASI, 114;FERRARA;0532 722164;532722164;feic808004@istruzione.it;nord_metro;ND;ND;Metropolitano
licei_altro;PVPC00701B;LICEO SCIENTIFICO GOLGI - BRONI;PVIS007004;IIS L. G. FARAVELLI;VIA DE AMICIS, 35;STRADELLA;38548686;38548686;PVIS007004@istruzione.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
licei_trad;TOPC10500T;"""MAURILIO FOSSATI""";TOPC10500T;MAURILIO FOSSATI;CORSO FRANCIA, 15;RIVOLI;011.9586336 011.9561156;011.9586336 011.9561156;rivoli@murialdo.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
licei_altro;CTSD02000E;"LICEO ARTISTICO STATALE ""M.M. LAZZARO""";CTSD02000E;M. M. LAZZARO;VIA GENERALE AMEGLIO, 15;CATANIA;956136410;956136410;CTSD02000E@istruzione.it;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
licei_altro;CBPC02601V;"LICEO LINGUISTICO ""PERTINI""";CBIS02600G;S. PERTINI - L. MONTINI - V. CUOCO;VIA PRINCIPE DI PIEMONTE, 2/C;CAMPOBASSO;87496958;87496958;CBIS02600G@ISTRUZIONE.IT;licei_altro_sud_metro;II Grado;Liceo;Metropolitano
IP;ORRA009017;I.P.S.A.A. E I.P.S.A.A.R. DON D. MELONI;ORIS009007;DON DEODATO MELONI;LOCALITÀ PALLONI SNC - NURAXINIEDDU;ORISTANO;0783 3444222;784230880;ORIS009007@istruzione.it;IP_sud_metro;II Grado;Professionale;Metropolitano
licei_altro;CSPS18000D;"LS ""PITAGORA"" RENDE";CSPS18000D;LICEO SCIENTIFICO - LINGUISTICO PITAGORA;VIA S. PERTINI SNC;RENDE;984462682;0984-462682;CSPS18000D@istruzione.it;licei_altro_sud_altro;II Grado;Liceo;Non Metropolitano
licei_trad;AGPS00101A;A. SCIASCIA;AGIS00100X;UGO FOSCOLO;VIA PIRANDELLO, 6;CANICATTÌ;922851006;922851006;AGIS00100X@istruzione.it;licei_trad_sud_altro;II Grado;Liceo;Non Metropolitano
IT;NATD12601C;TD ITCG ARCHIMEDE-NAPOLI-;NAIS126006;ARCHIMEDE;VIA EMILIO SALGARI, 8;NAPOLI;081 7746398;817746398;NAIS126006@istruzione.it;IT_sud_metro;II Grado;Tecnico;Metropolitano
licei_trad;RMPS11201N;GUGLIELMO MARCONI;RMIS112007;GUGLIELMO MARCONI;VIA CIRO CORRADETTI, 2;CIVITAVECCHIA;06 121124375;6121124375;RMIS112007@istruzione.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
IP;PZRI021014;I.P.S.I.A. - VENOSA (PZ);PZIS02100C;Q. ORAZIO FLACCO;VIA EMILIA, 32;VENOSA;0972 207954;0972/207954;PZIS02100C@istruzione.it;IP_sud_altro;II Grado;Professionale;Non Metropolitano
IT;TPTD00202C;IST.TEC. COMM.LE PARTANNA;TPIS002005;F. D'AGUIRRE- D. ALIGHIERI;VIA BAVIERA, 1;SALEMI;924534873;924981344;TPIS002005@istruzione.it;IT_sud_altro;II Grado;Tecnico;Non Metropolitano
licei_trad;FEPS00401B;LICEO SCIENT. T.LEVI CIVITA;FEIS004001;GUIDO MONACO DI POMPOSA;VIALE DELLA RESISTENZA, 3;CODIGORO;533712164;533712164;FEIS004001@istruzione.it;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
IT;PATDEE500L;NICCOLO' MACHIAVELLI;PATDEE500L;NICCOLO' MACHIAVELLI;VIA DELLA FERROVIA, 54;PALERMO;;;Non Disponibile;IT_sud_metro;II Grado;Tecnico;Metropolitano
IP;BLRI001013;"I.P.S.I.A. ""OTTICA""";BLIS00100B;ENRICO FERMI;VIA VALCALDA, 1;PIEVE DI CADORE;43533072;43533072;BLIS00100B@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
IT;TVTN00401B;ITT VERDI (S.C. I.S. VERDI);TVIS004007;GIUSEPPE VERDI;VIA S. VENANZIO FORTUNATO, 21;VALDOBBIADENE;0423 975973;0423 975973;TVIS004007@istruzione.it;IT_nord_altro;II Grado;Tecnico;Non Metropolitano
licei_altro;VIPS08000D;"L.S. ""DA VINCI"" ARZIGNANO";VIPS08000D;L.S. DA VINCI ARZIGNANO;VIA FORTIS , 3;ARZIGNANO;444676125;0444/676125;VIPS08000D@istruzione.it;licei_altro_nord_altro;II Grado;Liceo;Non Metropolitano
IP;RERF070004;"I P S S I ""M. CARRARA""";RERF070004;I.P.S.S.I. MARIO CARRARA;VIA SACCO E VANZETTI, 1;GUASTALLA;0522 824682;522824682;RERF070004@istruzione.it;IP_nord_altro;II Grado;Professionale;Non Metropolitano
IT;PSTF01000N;"I.T.I.S. ""E. MATTEI""";PSTF01000N;E. MATTEI;VIA LUCA PACIOLI, 22;URBINO;722328021;722328021;PSTF01000N@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
licei_trad;MBPSIE500B;COLLEGIO S. ANTONIO;MBPSIE500B;COLLEGIO S. ANTONIO - OPZIONE SCIENZE APPLICATE;VIA MANZONI, 13;BUSNAGO;396820180;396820180;segreteria@collegiosantantonio.com;licei_trad_nord_altro;II Grado;Liceo;Non Metropolitano
IT;BLTF01101E;"I.T.I. ""G. SEGATO""";BLIS011002;SEGATO;VIA J. TASSO, 11;BELLUNO;437940159;437940157;BLIS011002@istruzione.it;IT_nord_metro;II Grado;Tecnico;Metropolitano
