denominazionescuola;nome_comune;istituto;sito_web;ptof_link;analisi_orientamento
IC2 RAVARINO;RAVARINO;MOIC84900D;https://www.ic2ravarino.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
L. DA VINCI E O. NUCULA;TERNI;TRMM045005;;NOT_FOUND;PTOF non scaricato
VILLA FLEURENT;NAPOLI;NAIC8F100C;http://www.icvillafleurent.edu.it;NOT_FOUND;PTOF non scaricato
MASSA 6;MASSA;MSIC81200D;https://www.icmassa6.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
L. DA VINCI;MUSSOMELI;CLIC81800D;https://www.icdavincimussomeli.edu.it;NOT_FOUND;PTOF non scaricato
SUORE FRANCESCANE;CASORIA;NA1M008005;;NOT_FOUND;PTOF non scaricato
CATALANO MOSCATI;FOGGIA;FGIC86200B;https://www.iccatalanomoscati.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
LUIGI CHIESA;SPINO D'ADDA;CRIC817004;https://www.icspinodadda.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
PADRE PINO PUGLISI;PALERMO;PAIC87200Q;https://www.icpadrepinopuglisi.edu.it;NOT_FOUND;PTOF non scaricato
MASSARI GALILEI;BARI;BAIC818001;https://www.icmassarigalilei.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
G. FORTUNATO;GENZANO DI LUCANIA;PZIS029003;;NOT_FOUND;PTOF non scaricato
LICEO P. SICILIANI;LECCE;LEPM01000Q;https://www.liceosicilianilecce.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
LICEO EMPEDOCLE;AGRIGENTO;AGPC010001;https://www.liceoempedocle.edu.it;NOT_FOUND;PTOF non scaricato
LICEO MELI;PALERMO;PAPC030004;https://www.liceomeli.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
PIO LA TORRE;PALERMO;PAIS03800C;;NOT_FOUND;PTOF non scaricato
LICEO KENNEDY;ROMA;RMPL085008;https://www.liceokennedy.edu.it;NOT_FOUND;PTOF non scaricato
ENRICO FERMI;SCIACCA;AGPS02000P;https://www.liceofermisciacca.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
MAJORANA;GIRIFALCO;CZIS00200T;https://www.iismajoranagirifalco.edu.it;NOT_FOUND;PTOF non scaricato
G. MARCONI;SAN MINIATO;PIPS01000Q;http://www.liceomarconi.net;LOCAL_FILE_EMPTY;Testo PDF vuoto
A. BAFILE;L'AQUILA;AQIS01800Q;https://www.iisbafile.edu.it;NOT_FOUND;PTOF non scaricato
IIS VIA DELLE SCIENZE;COLLEFERRO;RMIS02400L;https://www.marconicolleferro.edu.it;NOT_FOUND;PTOF non scaricato
G. DE CHIRICO;TORRE ANNUNZIATA;NASD04000B;https://www.liceodechirico.it;NOT_FOUND;PTOF non scaricato
ARCHIMEDE;ROMA;RMIS09400V;https://www.pacinottiarchimede.edu.it;NOT_FOUND;PTOF non scaricato
DUCHESSA DI GALLIERA;GENOVA;GEPMAH500O;https://www.duchessadigalliera.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
CARLO URBANI;SAN GIORGIO A CREMANO;NAPS36000R;;NOT_FOUND;PTOF non scaricato
GONZAGA;PALERMO;PAPS3Q5009;https://www.gonzagapalermo.it;NOT_FOUND;PTOF non scaricato
SACRO CUORE DI MARIA;CASERTA;CEPS875001;;NOT_FOUND;PTOF non scaricato
BARBARA MELZI;LEGNANO;MIRFHT500U;https://www.istitutobarbaramelzi.it;NOT_FOUND;PTOF non scaricato
A.M. JACI;MESSINA;MEIS03700V;https://www.jaci.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
G. BARUFFI;CEVA;CNIS01100D;https://www.barufficeva.edu.it;NOT_FOUND;PTOF non scaricato
ITI G.MARCONI;CATANIA;CTIS04300B;https://www.iismarconi-mangano.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
F.LLI TADDIA;CENTO;FEIS01400G;https://www.ipsia100.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
CRESCENZI PACINOTTI SIRANI;BOLOGNA;BOIS02700V;https://www.crescenzipacinottisirani.edu.it;LOCAL_FILE_EMPTY;Testo PDF vuoto
COLLEGIO SAN CARLO;MILANO;MIPMU4500Z;https://www.collegiosancarlo.it;NOT_FOUND;PTOF non scaricato
S. IGNAZIO;MESSINA;MEPMEB500L;https://www.collegiosignazio.it;NOT_FOUND;PTOF non scaricato
P. S. MANCINI;AVELLINO;AVPS12000T;http://www.scientificoavellino.it;NOT_FOUND;PTOF non scaricato
